ID	Species	Culture collection number	Isolation source	Country	Continent	Category 1	Category 2	Category 3	joined_1_2
155311	Streptococcus pneumoniae	CCUG 57297	Human abscess,66-yr-old man	Sweden	Europe	Infection###Host Body-Site###Host	Patient###Other###Human	Abscess###Male	Infection@@@Patient###Host Body-Site@@@Other###Host@@@Human
155312	Campylobacter oricanis	CCUG 57305	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
155313	Tannerella forsythia	CCUG 57306	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
155314	Porphyromonas crevioricanis	CCUG 57307	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
155315	Porphyromonas cangingivalis	CCUG 57308	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
155316	Filifactor villosus	CCUG 57309	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
155317	Campylobacter oricanis	CCUG 57310	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
155318	Fusobacterium sp.	CCUG 57311	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
155319	Porphyromonas gulae	CCUG 57312	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
155320	Peptostreptococcus canis	CCUG 57314	Dog,oral plaque	Sweden	Europe	Host Body-Site###Host	Oral cavity and airways###Mammals	Plaque###Canidae (Dog)	Host@@@Mammals###Host Body-Site@@@Oral cavity and airways
