ID	Species	Culture collection number	Isolation source	Country	Continent	Category 1	Category 2	Category 3	joined_1_2
2	Acetobacter aceti	DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828	Food, Alcohol vinegar###Beech-wood shavings of vinegar plant###alcohol turned to vinegar			Environmental###Engineered###Environmental###Engineered###Environmental###Engineered###Environmental###Engineered	Microbial community###Food production###Microbial community###Food production###Microbial community###Food production###Microbial community###Food production		Environmental@@@Microbial community###Engineered@@@Food production
4	Acetobacter pasteurianus	DSM 3509, ATCC 33445, LMD 22.1, JCM 7640, BCRC 14145, CCM 2374, CCUG 18125, CGMCC 1.1810, CIP 103108, ICMP 8808, LMG 1262, NBRC 106471, NCCB 22001, NCIMB 12228, VTT E-97830, IMET 10733	Food, Beer###beer			Host Body-Site###Host###Engineered###Engineered###Host Body-Site###Host###Engineered###Engineered###Host Body-Site###Host###Engineered###Engineered	Plant###Plants###Food production###Food production###Plant###Plants###Food production###Food production###Plant###Plants###Food production###Food production	Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage###Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage###Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage	Host@@@Plants###Host Body-Site@@@Plant###Engineered@@@Food production
8	Acetobacter orleanensis	DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463	Belgian bottled beer###beer	Belgium	Europe	Host Body-Site###Host###Engineered###Engineered###Host Body-Site###Host###Engineered###Engineered###Host Body-Site###Host###Engineered###Engineered	Plant###Plants###Food production###Food production###Plant###Plants###Food production###Food production###Plant###Plants###Food production###Food production	Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage###Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage###Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage	Host@@@Plants###Host Body-Site@@@Plant###Engineered@@@Food production
9	Acetobacter lovaniensis	DSM 4491, ATCC 12875, CCUG 18127, IMET 10734, JCM 17121, LMD 31.2, LMG 1579, LMG 1617, NCIMB 8620, CCM 3606, ICMP 8610, IFO 13753, NBRC 13753, NCCB 31002	Sewage on soil###soil	Belgium	Europe	Environmental###Environmental	Terrestrial###Terrestrial	Soil###Soil	Environmental@@@Terrestrial
10	Acetobacter estunensis	DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751	Apple juice or cider or associated equipment###cider making	United Kingdom	Europe	Engineered###Engineered###Engineered###Engineered###Engineered###Engineered	Food production###Industrial###Food production###Food production###Industrial###Food production	Beverage###Fermented###Beverage###Fermented	Engineered@@@Food production###Engineered@@@Industrial
11	Acetobacter pomorum	DSM 11825, LTH 2458, CIP 105762	Food, Apple vinegar###industrial cider vinegar fermentation	Germany	Europe	Engineered###Engineered###Engineered###Engineered###Engineered###Engineered###Engineered###Engineered###Engineered	Food production###Industrial###Food production###Food production###Industrial###Food production###Food production###Industrial###Food production	Beverage###Fermented###Beverage###Fermented###Beverage###Fermented	Engineered@@@Food production###Engineered@@@Industrial
12	Acetobacter cerevisiae	DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461	Beer###beer (ale) in storage	Canada	North America	Engineered###Engineered###Engineered###Engineered###Engineered###Engineered	Food production###Food production###Food production###Food production###Food production###Food production	Beverage###Fermented###Beverage###Fermented###Beverage###Fermented	Engineered@@@Food production
13	Acetobacter malorum	DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462	Food, Rotting apple###rotting apple	Belgium	Europe	Host Body-Site###Host Body-Site###Host###Host Body-Site###Host Body-Site###Host###Host Body-Site###Host Body-Site###Host	Plant###Plant###Plants###Plant###Plant###Plants###Plant###Plant###Plants	Fruit (Seed)###Bark###Decomposing plant###Fruit (Seed)###Bark###Decomposing plant###Fruit (Seed)###Bark###Decomposing plant	Host@@@Plants###Host Body-Site@@@Plant
14	Acetobacter syzygii	DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378	Food, Fruit, Malay rose apple###Fruit of Malay rose apple (<I>Syzygium malaccense</I>)###fruit of Malay rose apple, <I>Syzygium malaccense</I>	Indonesia	Asia	Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants###Plant###Plants	Fruit (Seed)###Tree###Fruit (Seed)###Tree###Fruit (Seed)###Tree	Host@@@Plants###Host Body-Site@@@Plant
15	Acetobacter cibinongensis	DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380	Mountain soursop###Mountain soursop (<I>Annona montanae</I>)###fruit of montain soursop, <I>Annona montanae</I>	Indonesia	Asia	Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants###Plant###Plants	Fruit (Seed)###Tree###Fruit (Seed)###Tree###Fruit (Seed)###Tree	Host@@@Plants###Host Body-Site@@@Plant
16	Acetobacter orientalis	DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379, JCM 1195	Canna flower###Canna flower (<I>Canna hybrida</I>)###canna flower, <I>Canna hybrida</I>	Indonesia	Asia	Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants###Plant###Plants	Flower###Herbaceous plants (Grass,Crops)###Flower###Herbaceous plants (Grass,Crops)###Flower###Herbaceous plants (Grass,Crops)	Host@@@Plants###Host Body-Site@@@Plant
17	Acetobacter tropicalis	DSM 15551, IFO 16470, NBRC 16470, NRIC 0312, JCM 10947, BCRC 17166, LMG 19825	Coconut juice###coconut juice, <I>Cioccos nucifera</I>	Indonesia	Asia	Host Body Product###Host Body-Site###Host Body Product###Host Body-Site	Plant###Plant###Plant###Plant	Juice (natural)###Fruit (Seed)###Juice (natural)###Fruit (Seed)	Host Body-Site@@@Plant###Host Body Product@@@Plant
18	Acetobacter indonesiensis	DSM 15552, IFO 16471, JCM 10948, NBRC 16471, NRIC 0313, BCRC 17167, LMG 19824	Zirzak###rotten zirzak (fruit)	Indonesia	Asia	Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants	Fruit (Seed)###Decomposing plant###Fruit (Seed)###Decomposing plant	Host@@@Plants###Host Body-Site@@@Plant
19	Acetobacter oeni	DSM 23926, CECT 5830, LMG 21952, CIP 109171	Food, Red wine###spoiled red wine	Portugal	Europe	Engineered###Environmental###Engineered###Engineered###Environmental###Engineered	Food production###Microbial community###Food production###Food production###Microbial community###Food production	Beverage###Fermented###Beverage###Fermented	Environmental@@@Microbial community###Engineered@@@Food production
20	Acetobacter nitrogenifigens	DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15	Kombucha tea	India	Asia	Engineered###Engineered###Engineered###Engineered	Food production###Food production###Food production###Food production	Beverage###Fermented###Beverage###Fermented	Engineered@@@Food production
21	Acetobacter senegalensis	DSM 18889, LMG 23690	mango fruit <i>Mangifera indica</i> L.	Senegal	Africa	Host Body-Site	Plant	Fruit (Seed)	Host Body-Site@@@Plant
22	Acetobacter ghanensis	DSM 18895, LMG 23848	traditional heap fermentation of Ghanaian cocoa beans	Ghana	Africa	Host Body-Site###Engineered	Plant###Food production	Fruit (Seed)###Food	Host Body-Site@@@Plant###Engineered@@@Food production
23	Acetobacter fabarum	DSM 19596, LMG 24244	cocoa bean heap fermentation	Ghana	Africa	Host Body-Site###Engineered	Plant###Food production	Fruit (Seed)	Host Body-Site@@@Plant###Engineered@@@Food production
24	Acetobacter pasteurianus	DSM 2347, ATCC 12874, NCIB 8618, IFO 13755, JCM 25077, ATCC 12784, BCRC 12954, CCM 3615, CCUG 18131, KACC 19721, LMG 1635, NBRC 13755, NCCB 88049, NCCB 89009, NCIMB 8618, NRIC 0475	Ditch water	Netherlands	Europe				
26	Acidiphilium cryptum	DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690	Culture of <I>Thiobacillus ferrooxidans</I>, originally grown by W. W. Leathen from coal mine water###coal mine water	USA	North America	Environmental###Environmental###Engineered###Environmental###Environmental###Engineered	Terrestrial###Aquatic###Other###Terrestrial###Aquatic###Other	Geologic###Mine###Geologic###Mine	Engineered@@@Other###Environmental@@@Terrestrial###Environmental@@@Aquatic
27	Acidiphilium cryptum	DSM 2390	copper mine effluent	USA	North America	Environmental###Engineered###Engineered	Terrestrial###Waste###Other	Geologic###Wastewater###Mine	Engineered@@@Other###Environmental@@@Terrestrial###Engineered@@@Waste
28	Acidiphilium cryptum	DSM 2613	acid mine water	Japan	Asia	Condition###Environmental###Engineered	Acidic###Aquatic###Other	Mine	Engineered@@@Other###Condition@@@Acidic###Environmental@@@Aquatic
29	Acidiphilium cryptum	DSM 9467	bioleaching reactor	Australia	Australia and Oceania	Engineered	Bioreactor		Engineered@@@Bioreactor
30	Acidiphilium acidophilum	DSM 700, ATCC 27807, CIP 104483	derived from culture of <I>Thiobacillus ferrooxidans</I>, strain TM (D.G. Lundgren, Syracuse University, NY, USA)			Host###Host	Microbial###Microbial	Bacteria###Bacteria	Host@@@Microbial
31	Acidiphilium multivorum	DSM 11245, JCM 8867, NBRC 100785, NBRC 100883	Acid mine drainage at the abandoned Matsuo sulfur-pyrite mine###acid mine water	Japan	Asia	Condition###Environmental###Engineered###Condition###Environmental###Engineered	Acidic###Aquatic###Other###Acidic###Aquatic###Other	Mine###Mine	Engineered@@@Other###Condition@@@Acidic###Environmental@@@Aquatic
32	Acidocella aminolytica	DSM 11237, ATCC 51361, JCM 8796	acidic mine drainage	Japan	Asia	Condition###Environmental###Engineered###Condition###Environmental###Engineered	Acidic###Aquatic###Other###Acidic###Aquatic###Other	Mine###Mine	Engineered@@@Other###Condition@@@Acidic###Environmental@@@Aquatic
33	Acidomonas methanolica	DSM 5432, ATCC 43581, IMET 10945, CCUG 37300, LMG 1668, JCM 6891, BCC 12263, BCRC 16049, CCM 4121, CIP 103167, NBRC 104435, NRIC 0498, VKM B-2104	Other, Septic methanol-yeast process###Septic methanol-yeast process###Fermentation of methanol with Candida sp.###yeast fermentation process	Germany	Europe	Host###Engineered###Host###Engineered###Host###Engineered###Host###Engineered	Yeast###Biodegradation###Yeast###Biodegradation###Yeast###Biodegradation###Yeast###Biodegradation		Engineered@@@Biodegradation###Host@@@Yeast
34	Asaia siamensis	DSM 15972, CCM 7132, IFO (now NBRC) 16457, JCM 10715, KCTC 12914, MTCC 4042, NRIC 0323, IFO 16457, NBRC 16457, CIP 107278	Crown flower, Calotropis gigantea###Flower of crown flower (dok rak, <I>Calotropis gigantea</I>)###Flower of crown flower <i>Calotropis gigantea</i>###Flower of crown flower (Calotropis gigantea)	Thailand	Asia	Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants###Plant###Plants###Plant###Plants	Flower###Shrub (Scrub)###Flower###Shrub (Scrub)###Flower###Shrub (Scrub)###Flower###Shrub (Scrub)	Host@@@Plants###Host Body-Site@@@Plant
35	Asaia astilbis	DSM 23030, JCM 15831	Astilbe (<I>Astilbe thunbergii</I> var. <I>congesta</I>)###<i>Astilbe thunbergii</i> var. <i>congesta</i>	Japan	Asia	Host###Host	Plants###Plants	Herbaceous plants (Grass,Crops)###Herbaceous plants (Grass,Crops)	Host@@@Plants
36	Asaia platycodi	DSM 23029, JCM 25414	Balloon flower (<I>Platycodon grandiflorum</I>)###balloon flower <i>Platycodon grandiflorum</i>	Japan	Asia	Host###Host	Plants###Plants	Herbaceous plants (Grass,Crops)###Herbaceous plants (Grass,Crops)	Host@@@Plants
37	Asaia prunellae	DSM 23028, JCM 25354	Self-heal (<I>Prunella vulgaris</I>)###self-heal <i>Prunella vulgaris</i>	Japan	Asia	Host###Host	Plants###Plants	Herbaceous plants (Grass,Crops)###Herbaceous plants (Grass,Crops)	Host@@@Plants
38	Belnapia moabensis	DSM 16746, ATCC BAA-1043, CIP 109215	biological soil crusts	USA	North America	Environmental###Environmental	Terrestrial###Terrestrial	Soil###Soil	Environmental@@@Terrestrial
39	Belnapia rosea	DSM 23312, CGMCC 1.10758, CPCC 100156	forest soil	China	Asia	Environmental###Environmental###Environmental###Environmental	Terrestrial###Terrestrial###Terrestrial###Terrestrial	Soil###Forest###Soil###Forest	Environmental@@@Terrestrial
40	Gluconacetobacter diazotrophicus	DSM 5601, ATCC 49037, LMG 7603, CCUG 37298, CIP 103539	Plant, Roots of Saccharum officinarum, sugarcane###Root,Saccharum officinarum###sugarcane roots	Brazil	Middle and South America	Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants###Plant###Plants	Root (Rhizome)###Herbaceous plants (Grass,Crops)###Root (Rhizome)###Herbaceous plants (Grass,Crops)###Root (Rhizome)###Herbaceous plants (Grass,Crops)	Host@@@Plants###Host Body-Site@@@Plant
41	Gluconacetobacter liquefaciens	DSM 5603, ATCC 14835, CCUG 18124, IAM 1834, IFO 12388, LMG 1381, LMG 1382, NBRC 12388, NCIMB 9136, JCM 17840, BCRC 12950, CCM 3621, CIP 103109	Food, Dried fruit###Fruit,dried of persimmon,Diospyros sp.###dried fruit (<I>Diospyros</I> sp.)	Japan	Asia	Host Body-Site###Host###Host###Host Body-Site###Host###Host###Host Body-Site###Host###Host	Plant###Plants###Plants###Plant###Plants###Plants###Plant###Plants###Plants	Fruit (Seed)###Tree###Shrub (Scrub)###Fruit (Seed)###Tree###Shrub (Scrub)###Fruit (Seed)###Tree###Shrub (Scrub)	Host@@@Plants###Host Body-Site@@@Plant
42	Gluconacetobacter sacchari	DSM 12717, SRI 1794, CIP 106693	Sugar cane###leaf sheath of sugar cane and pink sugar-cane mealy bug (Saccharicoccus  sacchari)###mealy bug from sugar cane	Australia	Australia and Oceania	Host###Host###Host Body-Site###Infection###Host###Host###Host Body-Site###Infection###Host###Host###Host Body-Site###Infection	Plants###Arthropoda###Plant###Disease###Plants###Arthropoda###Plant###Disease###Plants###Arthropoda###Plant###Disease	Herbaceous plants (Grass,Crops)###Insecta###Leaf (Phyllosphere)###Herbaceous plants (Grass,Crops)###Insecta###Leaf (Phyllosphere)###Herbaceous plants (Grass,Crops)###Insecta###Leaf (Phyllosphere)	Host@@@Plants###Host Body-Site@@@Plant###Host@@@Arthropoda###Infection@@@Disease
43	Gluconacetobacter azotocaptans	DSM 13594, ATCC 700988, CIP 107161	Environment, Coffee plants, rhizosphere###rhizosphere of coffee plants	Mexico	North America	Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants	Rhizosphere###Herbaceous plants (Grass,Crops)###Rhizosphere###Herbaceous plants (Grass,Crops)	Host@@@Plants###Host Body-Site@@@Plant
44	Gluconacetobacter johannae	DSM 13595, ATCC 700987, CIP 107160	Environment, Coffee plants, rhizosphere###rhizosphere of coffee plants	Mexico	North America	Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants	Rhizosphere###Herbaceous plants (Grass,Crops)###Rhizosphere###Herbaceous plants (Grass,Crops)	Host@@@Plants###Host Body-Site@@@Plant
45	Komagataeibacter kakiaceti	DSM 24098, JCM 25156, LMG 26206, NRIC 0798, BCRC 80743	Kaki vinegar in Kumamoto Pref.###kaki vinegar	Japan	Asia	Host Body-Site###Engineered###Host Body-Site###Engineered	Plant###Food production###Plant###Food production	Fruit (Seed)###Fruit (Seed)	Host Body-Site@@@Plant###Engineered@@@Food production
46	Gluconobacter oxydans	DSM 2343, ATCC 621H, NCIB 8036, CIP 104215, NCIMB 8036	descendent of ATCC 621			Host	Microbial	Bacteria	Host@@@Microbial
49	Gluconobacter oxydans	DSM 7145, ATCC 19357, NCIB 9013	beer			Host Body-Site###Host###Engineered###Engineered	Plant###Plants###Food production###Food production	Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage	Host@@@Plants###Host Body-Site@@@Plant###Engineered@@@Food production
50	Gluconobacter oxydans	DSM 46615, ATCC 12303, CCM 1804, IFO 3262, IMET 10509, NBRC 3262, BUCSAV 350, Kondo 32	strawberry	Japan	Asia	Host Body-Site###Host	Plant###Plants	Fruit (Seed)###Herbaceous plants (Grass,Crops)	Host@@@Plants###Host Body-Site@@@Plant
52	Gluconobacter oxydans	DSM 50049, ATCC 621, CIP 104737, NCIB 7069, NRRL B-72, CCUG 18135, ATCC 33448, NCTC 7069, LMG 1673, NCTC 621, ATCC 23774, JCM 20429, ATCC 23773, BCRC 12581, CCM 1787, IAM 12137, IFO 3130, KCTC 2779, LMG 1400, NBRC 3130, NCIMB 6723, NCTC 6723, CIP 53.162, CCM 1783, IFO 3172, IMET 10507, LMG 1393, NCDO 2008, LMG 1402, LMG 1401, NCIMB 7069	Other, Amstel beer###Beer	Netherlands	Europe	Host Body-Site###Host###Engineered###Engineered###Host Body-Site###Host###Engineered###Engineered	Plant###Plants###Food production###Food production###Plant###Plants###Food production###Food production	Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage###Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fermented###Beverage	Host@@@Plants###Host Body-Site@@@Plant###Engineered@@@Food production
53	Gluconobacter frateurii	DSM 7146, ATCC 49207, IFO 3264, NBRC 3264, CIP 104735	strawberry	Japan	Asia	Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants	Fruit (Seed)###Herbaceous plants (Grass,Crops)###Fruit (Seed)###Herbaceous plants (Grass,Crops)	Host@@@Plants###Host Body-Site@@@Plant
55	Gluconobacter cerinus	DSM 7148, ATCC 49206, JCM 21279, CIP 104733, IAM 14721, IFO 3276, LMG 1390, NBRC 3276, NCIMB 13199	Flower, Rheum undullatum###Flower of <I>Rheum undullatum</I>###derived from IFO 3276	Japan	Asia	Condition###Host###Condition###Host###Condition###Host	Acidic###Microbial###Acidic###Microbial###Acidic###Microbial	Bacteria###Bacteria###Bacteria	Host@@@Microbial###Condition@@@Acidic
56	Gluconobacter cerinus	DSM 9533, ATCC 19441, IFO 3267, LMG 1368, NBRC 3267, JCM 25108, BCRC 16009, CCM 1806, CIP 103150, DSM 9534, LMG 1361, NRIC 0229, NRRL B-4241, VTT E-011791	Plant, Flower, Pelargonium zonale###<I>Prunus</I> sp. in Osaka###cherry (<I>Prunus sp.</I>)	Japan	Asia	Host Body-Site###Host###Host Body-Site###Host###Host Body-Site###Host	Plant###Plants###Plant###Plants###Plant###Plants	Fruit (Seed)###Tree###Fruit (Seed)###Tree###Fruit (Seed)###Tree	Host@@@Plants###Host Body-Site@@@Plant
57	Gluconobacter cerinus	DSM 9534, ATCC 19441, IFO 3267, LMG 1368t1	cherry (<I>Prunus sp.</I>)	Japan	Asia	Host Body-Site###Host	Plant###Plants	Fruit (Seed)###Tree	Host@@@Plants###Host Body-Site@@@Plant
58	Kozakia baliensis	DSM 14400, IFO 16664, JCM 11301, NBRC 16664, NRIC 0488, CCUG 48823, CCM 7137, NCIMB 14242	palm brown sugar	Indonesia	Asia	Host###Host###Host###Host	Plants###Plants###Plants###Plants	Tree###Tree###Tree###Tree	Host@@@Plants
59	Rhodopila globiformis	DSM 161, ATCC 35887, Pfennig 7950, CIP 107835, LMG 4312	Environment, Sulfur spring###sulfur spring	United States of America###USA	North America	Condition###Environmental###Condition###Environmental	Sulfuric###Aquatic###Sulfuric###Aquatic	Spring###Spring	Condition@@@Sulfuric###Environmental@@@Aquatic
60	Roseococcus thiosulfatophilus	DSM 8511, RB 3	freshwater cyanobacterial mat of a thermal alkaline sulfide spring (54°C; pH 9.3; 7.4 mg of sulfide per liter; 1.6 mg of oxygen per liter)###cyanobacterial mat from hot spring	Russia	Asia	Host###Environmental###Environmental###Environmental###Condition###Host###Environmental###Environmental###Environmental###Condition	Microbial###Microbial community###Aquatic###Aquatic###Thermophilic (>45°C)###Microbial###Microbial community###Aquatic###Aquatic###Thermophilic (>45°C)	Bacteria###Microbial mat###Thermal spring###Freshwater###Bacteria###Microbial mat###Thermal spring###Freshwater	Host@@@Microbial###Environmental@@@Microbial community###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
61	Roseococcus suduntuyensis	DSM 19979, VKM B-2453	soda lake, surface layer of bottom sediments	Russia	Asia	Condition###Environmental###Environmental	Alkaline###Aquatic###Aquatic	Sediment###Lake (large)	Condition@@@Alkaline###Environmental@@@Aquatic
62	Rubritepida flocculans	DSM 14296, ATCC BAA-385	hot spring	Hungary	Europe	Condition###Environmental	Thermophilic (>45°C)###Aquatic	Thermal spring	Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
63	Saccharibacter floricola	DSM 15669, AJ 13480, JCM 12116	Pollen collected in Kanagawa Pref.###pollen	Japan	Asia	Host Body-Site###Host Body-Site	Plant###Plant	Fruit (Seed)###Fruit (Seed)	Host Body-Site@@@Plant
64	Allostella humosa	DSM 5900, ATCC 43930, AUCM B-1137, BKM B-1137, DSM 3698, VKM B-1137	Virgin chernozem###soil	Russia	Europe	Environmental###Environmental	Terrestrial###Terrestrial	Soil###Soil	Environmental@@@Terrestrial
65	Allostella vacuolata	DSM 5901, ATCC 43931, AUCM B-1552, BKM B-1552, DSM 3699, VKM B-1552	horse manure###horse manure and sewage sludge of a piggery	Russia	Europe	Host Body Product###Host###Host###Engineered###Host Body Product###Host###Host###Engineered	Gastrointestinal tract###Mammals###Mammals###Waste###Gastrointestinal tract###Mammals###Mammals###Waste	Feces (Stool)###Suidae (Pig,Swine)###Equidae (Horse)###Sewage sludge###Feces (Stool)###Suidae (Pig,Swine)###Equidae (Horse)###Sewage sludge	Host Body Product@@@Gastrointestinal tract###Host@@@Mammals###Engineered@@@Waste
66	Zavarzinia compransoris	DSM 1231, ATCC 51430, CCUG 15334, LMG 5821, LMG 8357	mud	Russia	Europe	Environmental	Terrestrial	Mud (Sludge)	Environmental@@@Terrestrial
67	Acidisphaera rubrifaciens	DSM 16009, JCM 10600	Hot spring water###surface water and sediment from an acidic hot spring	Japan	Asia	Condition###Environmental###Environmental###Environmental###Condition###Environmental###Environmental###Environmental	Acidic###Aquatic###Aquatic###Aquatic###Acidic###Aquatic###Aquatic###Aquatic	Thermal spring###Surface water###Sediment###Thermal spring###Surface water###Sediment	Condition@@@Acidic###Environmental@@@Aquatic
68	Teichococcus ludipueritiae	DSM 14915, CIP 107418, CCUG 55703	Wall of a children care centre###Wall of a children care center###wall of a childrens care center	Finland	Europe	Engineered###Engineered###Engineered	Built environment###Built environment###Built environment	House###House###House	Engineered@@@Built environment
69	Muricoccus roseus	DSM 14916, CIP 107419, UCCCB4	Wall of a children car centre###wall of a childrens care center	Finland	Europe	Engineered###Engineered###Engineered	Built environment###Built environment###Built environment	House###House###House	Engineered@@@Built environment
70	Roseomonas mucosa	DSM 30755	spacecraft-associated clean room class ISO 8, Herschel Space Observatory	Netherlands	Europe	Engineered	Built environment	Clean room	Engineered@@@Built environment
71	Neoroseomonas lacus	DSM 19439, CGMCC 1.3617, JCM 13283, CIP 109168	Environment, Fresh water, lake sediment###freshwater sediment of Taihu Lake###freshwater lake sediment	China	Asia	Environmental###Environmental###Environmental###Environmental###Environmental###Environmental###Environmental###Environmental###Environmental###Environmental###Environmental###Environmental	Aquatic###Aquatic###Aquatic###Aquatic###Aquatic###Aquatic###Aquatic###Aquatic###Aquatic###Aquatic###Aquatic###Aquatic	Sediment###Lake (large)###Freshwater###Sediment###Lake (large)###Freshwater###Sediment###Lake (large)###Freshwater###Sediment###Lake (large)###Freshwater	Environmental@@@Aquatic
72	Paeniroseomonas aquatica	DSM 19438, CECT 7131, JCM 13556, CCM 7358, NCIMB 14503, CIP 109393	Environment, Drinking water###potable water###drinking water distribution system of Seville	Spain	Europe	Environmental###Environmental###Environmental###Environmental	Aquatic###Aquatic###Aquatic###Aquatic	Freshwater###Freshwater###Freshwater###Freshwater	Environmental@@@Aquatic
73	Muricoccus vinaceus	DSM 19362, CCM 7468, KCTC 22045, CPCC 100056, UCCCB25	soil sample###forest soil	China	Asia	Environmental###Environmental###Environmental###Environmental###Environmental###Environmental	Terrestrial###Terrestrial###Terrestrial###Terrestrial###Terrestrial###Terrestrial	Soil###Forest###Soil###Forest###Soil###Forest	Environmental@@@Terrestrial
74	Roseomonas sp.	DSM 30594	spacecraft-associated clean room class ISO 8, Herschel Space Observatory	Netherlands	Europe	Engineered	Built environment	Clean room	Engineered@@@Built environment
75	Falsiroseomonas stagni	DSM 19981, JCM 15034, KCTC 22213	"From pond water of ""Nomori No Ike""###Pond water of Nomori no Ike in Shizuoka###pond water of Nomori no Ike"	Japan	Asia	Environmental###Environmental###Environmental	Aquatic###Aquatic###Aquatic	Pond (small)###Pond (small)###Pond (small)	Environmental@@@Aquatic
76	Muricoccus aerilatus	DSM 19363, KACC 12521, UCCCB24, CIP 110193	Environment, Air sample###Air sample###air	Republic of Korea	Asia	Environmental###Environmental###Environmental###Environmental	Air###Air###Air###Air		Environmental@@@Air
77	Muricoccus pecuniae	DSM 25268, CIP 110074, LMG 25481, UCCCB34	Surface of a copper European coin###Copper-alloy 50 Euro cent coin collected from general circulation###copper-alloy 50 Euro cent coin###surface of copper-alloy coin	Portugal	Europe	Engineered###Engineered###Engineered###Engineered###Engineered###Engineered###Engineered###Engineered	Other###Industrial###Other###Industrial###Other###Industrial###Other###Industrial	Currency###Industrial production###Currency###Industrial production###Currency###Industrial production###Currency###Industrial production	Engineered@@@Industrial###Engineered@@@Other
78	Muricoccus pecuniae	DSM 25622, CIP 110074, LMG 25481	surface of a copper European coin	Portugal	Europe	Engineered	Other	Currency	Engineered@@@Other
79	Acidicaldus organivorans	DSM 16953	enrichment culture inoculated with a water sample from a Frying Pan thermal spring	USA	North America	Condition###Environmental###Engineered	Thermophilic (>45°C)###Aquatic###Laboratory	Thermal spring###Lab enrichment	Engineered@@@Laboratory###Condition@@@Thermophilic (>45°C)###Environmental@@@Aquatic
80	Granulibacter bethesdensis	DSM 17861, ATCC BAA-1260	three patients with chronic granulomatous disease###lymph node cultures from a chronic granulomatous disease patient	USA	North America	Infection###Host Body-Site###Infection###Host Body-Site	Patient###Organ###Patient###Organ	Lymph node###Lymph node	Infection@@@Patient###Host Body-Site@@@Organ
81	Acidisoma tundrae	DSM 19999, VKM B-2488	wetland###acidic oligotrophic <i>Sphagnum</i>-dominated wetland	Russia	Asia	Environmental###Condition###Host###Environmental###Condition###Host	Terrestrial###Acidic###Plants###Terrestrial###Acidic###Plants	Wetland (Swamp)###Peat moss###Wetland (Swamp)###Peat moss	Host@@@Plants###Condition@@@Acidic###Environmental@@@Terrestrial
82	Acidisoma sibiricum	DSM 21000, VKM B-2487	<i>Sphagnum</i> peat	Russia	Asia	Host	Plants	Peat moss	Host@@@Plants
